Node,Community
571826184,3.0
1410813978,1.0
817342497,0.0
1441499171,1.0
1249763369,3.0
5813014573,2.0
1380145201,1.0
1472546868,2.0
1472520245,3.0
912558136,1.0
1660776511,2.0
847712342,0.0
5812994148,1.0
5812994149,1.0
1628743785,3.0
662966385,1.0
1380145267,1.0
1219756158,3.0
1160833169,1.0
1566333075,0.0
1441499284,1.0
632600726,1.0
1513363614,1.0
1631486122,3.0
1441503403,1.0
5813026993,3.0
1473241269,3.0
849832122,1.0
579268807,1.0
1599410380,1.0
1568047319,0.0
633200861,3.0
880875742,1.0
789104870,1.0
633200871,0.0
5813041382,1.0
1599772916,0.0
1248770299,0.0
1310499077,0.0
1630462217,1.0
943933727,2.0
848800043,1.0
942172462,0.0
1380149563,2.0
1164597572,1.0
1540129092,0.0
1003659595,1.0
5813014859,0.0
912238927,2.0
848800082,1.0
633200987,0.0
5813127522,2.0
692857189,0.0
5813127525,1.0
1630765418,3.0
1188163963,1.0
880875900,1.0
633201022,0.0
1256376704,2.0
756062593,2.0
1503922566,1.0
5813041556,1.0
1217372569,3.0
942254492,2.0
849162653,2.0
5813127581,2.0
1628744095,3.0
5813055913,1.0
1380149683,2.0
971817401,3.0
1348057533,1.0
1661458883,1.0
878725581,3.0
1598382541,1.0
697014740,1.0
1567728102,2.0
697014777,2.0
1282300415,2.0
1441503748,1.0
1249098248,0.0
5813056012,1.0
1218728463,0.0
758069781,1.0
817674780,3.0
1282646571,1.0
942535218,0.0
758069811,2.0
758743604,2.0
726024758,1.0
1599773239,1.0
1441481281,0.0
1219889738,2.0
1441485388,3.0
1536006733,1.0
693979726,2.0
1534616158,3.0
940808800,3.0
1218728544,0.0
1570806389,3.0
973963898,1.0
5813070464,0.0
1629426306,3.0
724228740,0.0
756390536,2.0
1034703497,1.0
1218728588,3.0
1410122382,0.0
1441485464,3.0
1128757926,0.0
1156999846,3.0
1095271087,0.0
818119357,1.0
757699264,0.0
723546819,3.0
1095279301,0.0
694665957,2.0
848407278,0.0
1661121263,1.0
785957618,0.0
1412164346,1.0
1473202957,0.0
942539535,3.0
1410472719,1.0
694985489,1.0
1504924440,0.0
1268568859,3.0
1312308001,2.0
5812988707,0.0
1349114660,2.0
879844133,2.0
1442556708,2.0
572166953,0.0
1534616361,0.0
1187693355,0.0
1349114669,1.0
879844144,1.0
5813037879,2.0
912898873,2.0
1503896377,0.0
1536326457,0.0
1126310716,3.0
1441485633,0.0
879844178,2.0
1188043606,3.0
1248424794,0.0
1349114715,1.0
1410122586,0.0
880526177,2.0
879844206,2.0
879844210,1.0
5813023615,0.0
972624772,1.0
1535298439,0.0
1125411720,1.0
911215499,1.0
1126310807,3.0
1219410844,3.0
1535298460,0.0
1189882785,1.0
1094722478,2.0
632259507,1.0
1034711992,2.0
1126310841,0.0
817683388,3.0
1158507458,2.0
1158507467,1.0
850492366,1.0
880526292,1.0
1472537557,2.0
1442931671,2.0
880526308,2.0
1599069164,1.0
1598067695,3.0
1567382512,2.0
1157000178,3.0
851170296,1.0
1503581177,0.0
1249102842,3.0
912894972,2.0
1535652862,0.0
1441485832,0.0
1660789784,2.0
1188371481,0.0
694666271,2.0
633895972,0.0
694670373,2.0
1442931758,2.0
5813128240,1.0
1251265590,1.0
911823931,3.0
1568711739,2.0
880526398,2.0
1410118722,3.0
816682053,3.0
786000969,0.0
1567020107,0.0
816682061,0.0
1125964879,0.0
1410450511,0.0
1410450514,3.0
633541717,3.0
1218733141,0.0
1504582746,0.0
1410122843,0.0
1125964899,0.0
5813128308,2.0
1441485942,0.0
816682110,3.0
1599747200,1.0
1410122892,0.0
1410450576,3.0
759084183,1.0
664632485,1.0
5813040300,0.0
1282991279,2.0
1661799601,1.0
1441486002,3.0
1599431888,0.0
1380408540,3.0
5813128416,1.0
1503581412,0.0
572167406,3.0
911500529,0.0
1251265778,1.0
5813095667,1.0
1125969140,0.0
572167413,0.0
973894912,0.0
1379087619,1.0
1410450694,0.0
1129456907,2.0
911219981,2.0
1069757725,1.0
877702431,3.0
943592738,1.0
1251269930,2.0
5813087532,0.0
881216816,2.0
940791092,0.0
940791093,0.0
724276536,0.0
1035955516,0.0
910783805,0.0
910787908,0.0
940791115,0.0
1629085008,0.0
940791123,0.0
940787029,0.0
5813128537,1.0
632911211,1.0
1097407853,1.0
943226223,0.0
1217394039,0.0
786679162,3.0
1155302782,0.0
663950729,1.0
663225743,0.0
1597722005,3.0
1320799646,2.0
1473207713,0.0
1189549476,1.0
1410801066,3.0
1410450859,3.0
1441848753,1.0
5812987321,0.0
1567028669,1.0
5812987327,0.0
1380408769,3.0
5812987334,0.0
1410127303,1.0
5812987339,3.0
664313308,2.0
819138027,1.0
819138035,2.0
1410450949,0.0
1348769299,1.0
881868311,2.0
5813069339,1.0
943592989,1.0
727035427,1.0
5812991545,3.0
849421893,0.0
879779401,0.0
5813016150,0.0
911220325,2.0
5813016167,0.0
911220331,1.0
1127808629,1.0
1159530101,1.0
1250113157,0.0
662840966,0.0
941831818,0.0
1441498763,1.0
5812991632,0.0
786013842,0.0
1350803100,3.0
1189887646,1.0
725360291,2.0
1441144493,0.0
1410451120,0.0
755644082,0.0
1597683387,0.0
5813077698,1.0
943269573,1.0
1410451151,0.0
1282305753,1.0
1345056477,1.0
1410127581,1.0
5813122799,1.0
1504268020,1.0
632915714,1.0
1250113288,3.0
1599436552,0.0
1251952397,2.0
850829072,1.0
1188716311,0.0
850462487,3.0
727371546,1.0
913235746,2.0
1156663078,0.0
756049717,1.0
1287411513,3.0
1629093706,3.0
5813012311,1.0
1219069788,3.0
1631131487,0.0
1472542572,2.0
1661122416,2.0
910878587,2.0
1472866173,0.0
910473088,0.0
1188388754,0.0
1249763220,0.0
1126305687,3.0
757055403,1.0
693651381,1.0
1126301622,0.0
1220581302,2.0
662845370,0.0
1248765883,0.0
850829248,1.0
1410105306,3.0
974968796,1.0
847712233,0.0
1035640810,0.0
847712250,3.0
