Node,Community
5813020674,3.0
977995787,1.0
888598546,2.0
482050067,0.0
885948438,0.0
5813020698,1.0
1472520219,0.0
5813020699,0.0
1072779298,1.0
916987940,1.0
916633638,1.0
886280235,0.0
1136545839,0.0
1539758131,0.0
916310074,1.0
917311549,2.0
917669951,2.0
5813020735,1.0
886626370,0.0
1536991299,2.0
1291370565,0.0
298055752,1.0
540112974,0.0
1009375310,1.0
264986706,0.0
296867934,3.0
917311596,0.0
916629616,0.0
1042448496,0.0
1443272825,0.0
236331138,1.0
948363394,0.0
886280332,0.0
1536991376,2.0
1537327249,2.0
1568729235,0.0
1135863959,3.0
1348380828,0.0
1073457310,2.0
296497316,2.0
205299889,0.0
916629686,0.0
388012215,0.0
1104824502,2.0
885944508,2.0
295141570,2.0
327565511,3.0
1072533704,1.0
1374390473,1.0
1261129931,3.0
387913933,1.0
1104146655,2.0
602562786,2.0
1073457379,2.0
917315578,0.0
5812979942,0.0
295141618,0.0
732741880,1.0
5901220093,1.0
5813002500,3.0
295133452,0.0
326875404,3.0
916646157,1.0
917674256,0.0
5813016853,1.0
419639581,1.0
5813012769,1.0
1227735330,1.0
388612388,0.0
1537327396,2.0
886280488,0.0
881152299,3.0
1279775029,2.0
764459322,1.0
1166592315,2.0
795291970,2.0
851200326,0.0
1073897808,2.0
1103468882,1.0
294791509,3.0
5813041497,1.0
949045596,0.0
515307870,0.0
5813041504,1.0
1011413348,2.0
917328229,2.0
5813041510,0.0
1537327465,2.0
296872298,0.0
1279775082,2.0
5813082481,2.0
5813010809,1.0
235985275,0.0
1104824699,2.0
917324165,2.0
1073461640,1.0
5813010828,1.0
326525339,0.0
886280616,0.0
884916654,1.0
886284719,0.0
726663601,2.0
947003825,1.0
203594169,2.0
916292026,1.0
295827899,0.0
5813041596,1.0
203594175,2.0
886280641,0.0
5813002689,3.0
1104832963,0.0
1105187274,1.0
5813041610,1.0
1135518161,0.0
979368408,1.0
296872415,3.0
1072101856,1.0
1534616031,2.0
388608485,0.0
948683239,0.0
327565800,0.0
1135872491,3.0
787433966,0.0
1167235569,1.0
885602804,0.0
948363764,0.0
1010731508,0.0
422881784,3.0
1534616068,2.0
1166674437,3.0
1537686032,2.0
1104151060,0.0
1537323564,2.0
481708589,0.0
949045811,1.0
885598772,3.0
1537327673,2.0
327203386,1.0
794622522,1.0
1104155212,3.0
357569116,2.0
5812986472,1.0
329638509,1.0
1537327732,2.0
886280843,0.0
886284941,0.0
295477903,1.0
1259022991,1.0
295473813,2.0
421184151,3.0
296880800,0.0
203598499,0.0
203598504,0.0
1342194347,0.0
1281622703,1.0
202916528,1.0
916642481,1.0
916970165,0.0
1537331894,2.0
295819960,2.0
327398074,2.0
1197243068,2.0
297519807,0.0
203598542,0.0
357569231,3.0
916970190,0.0
763435729,1.0
357569240,0.0
295815897,0.0
327566042,1.0
885598938,3.0
1230328538,2.0
5813054173,1.0
1343550174,2.0
948017897,1.0
328213227,1.0
1041468139,0.0
886285039,0.0
1224254199,3.0
850764542,1.0
886276864,0.0
388246273,2.0
1199082254,3.0
915610388,1.0
1475318548,2.0
1323221783,3.0
917328669,2.0
325489440,0.0
885603106,1.0
5813058338,0.0
295820069,0.0
1446204202,2.0
886635309,0.0
296514350,3.0
1310831405,2.0
1104159537,1.0
295820085,0.0
1135881013,1.0
327566137,0.0
5812988731,2.0
1446204221,3.0
1011465025,0.0
885599043,0.0
5813082948,2.0
886289222,0.0
1042154310,1.0
265120597,3.0
204962646,1.0
1136200534,3.0
886281051,2.0
1010740063,3.0
885599075,1.0
1104841576,1.0
326884203,0.0
1072472949,0.0
1104155523,1.0
483193732,0.0
5813009284,3.0
1345397641,0.0
5813009296,2.0
5812986772,2.0
916288408,1.0
265120677,0.0
294800293,1.0
911496103,0.0
326884264,3.0
1134840743,1.0
5813009324,2.0
5812986798,0.0
296143798,0.0
979069882,0.0
886285243,0.0
296838079,1.0
5813009350,1.0
916288456,1.0
1072442312,1.0
885599178,1.0
266200011,0.0
886281163,0.0
1478400968,2.0
916296656,1.0
948372442,0.0
1104837598,3.0
1310831585,0.0
1310831596,0.0
575319031,1.0
916292606,1.0
1259027455,2.0
948333576,1.0
1104595988,1.0
5813013524,0.0
5813013525,0.0
757396504,0.0
885599260,1.0
916651038,1.0
5813128237,0.0
916292657,1.0
885599283,0.0
915610680,0.0
886963259,0.0
979022908,1.0
885603391,0.0
1254947903,3.0
916970574,0.0
1600062551,1.0
858047578,1.0
916651101,1.0
915610725,1.0
1413882984,2.0
880811120,3.0
1166890100,1.0
1536339065,1.0
5813128313,0.0
296690817,0.0
358259842,1.0
886285443,0.0
1073120403,2.0
916296860,1.0
885939366,0.0
1072805036,2.0
916288689,1.0
5813071028,1.0
947664053,1.0
916970680,0.0
915610815,1.0
1039383744,2.0
789445825,1.0
885603527,1.0
885603529,1.0
5813048536,0.0
1535626467,2.0
297166053,0.0
1073116395,2.0
1505977586,2.0
5813056768,3.0
1073120513,2.0
1227941128,2.0
295474441,2.0
948704521,0.0
847336715,0.0
885943588,0.0
5813079341,0.0
885607728,1.0
357909813,3.0
948708664,3.0
764800313,1.0
1010437434,1.0
725955898,0.0
294450495,2.0
1374731590,3.0
948704585,0.0
299078990,1.0
203253072,2.0
390667603,3.0
948342102,2.0
1195658585,2.0
5813128545,1.0
5813108066,0.0
358251878,3.0
915619188,1.0
948026741,1.0
732401014,0.0
5813071231,1.0
885253510,1.0
5813050758,1.0
297178509,1.0
387913101,1.0
511806866,1.0
5813046674,2.0
917656984,0.0
911220126,1.0
203931040,0.0
1104491936,2.0
1536986534,2.0
1536986537,2.0
1504621994,2.0
326849964,0.0
295116205,2.0
948342190,0.0
451356082,0.0
1442176435,0.0
1536986560,2.0
1041761742,1.0
978716112,1.0
357223889,1.0
1136213460,1.0
980391392,2.0
916628962,1.0
940791269,0.0
979027431,1.0
420842989,1.0
915946994,1.0
358424052,1.0
886621686,0.0
979709436,0.0
296160764,0.0
916987393,0.0
329102850,1.0
948704770,3.0
295136778,0.0
204613133,0.0
328930845,1.0
1072451104,1.0
855250466,0.0
697355826,0.0
886621751,0.0
265655867,0.0
1321485893,3.0
1348769352,2.0
885943890,0.0
1168387674,3.0
917311067,2.0
