Node,Community
883462146,0.0
1100046341,0.0
5813022738,1.0
449296405,0.0
2058954777,3.0
1222195226,2.0
852422685,1.0
1437302815,3.0
1501384741,0.0
1627277351,2.0
1593815080,2.0
1313175597,3.0
1410054190,0.0
1010010166,0.0
1009311804,1.0
1624074309,3.0
5813022794,1.0
737218635,0.0
1130049611,0.0
675489869,0.0
1813391435,3.0
1349240911,4.0
1503141967,0.0
1130731603,0.0
1468635219,1.0
822069335,0.0
1471705177,4.0
919318621,0.0
1378107488,0.0
978643042,1.0
5813045346,3.0
1342863468,1.0
1562564719,0.0
945647730,1.0
1718308979,2.0
1221482612,1.0
5813026936,1.0
1658290299,3.0
1469227143,3.0
737218700,2.0
737218701,0.0
827267214,1.0
1596199055,2.0
1595922583,0.0
792205464,1.0
1657258136,2.0
1192460455,0.0
675489962,0.0
1164503211,1.0
5813078186,2.0
1255327920,0.0
737218738,0.0
1594286259,0.0
737218741,0.0
1442314421,3.0
1500063929,2.0
1535488185,2.0
5813016762,2.0
1410631868,1.0
1312368829,3.0
5813067963,0.0
5812986047,2.0
5901215936,0.0
737218753,0.0
1010325699,1.0
1626919110,2.0
1533040839,3.0
5812990157,3.0
1038338266,0.0
1314820316,1.0
1811163357,0.0
5812996317,1.0
1074782432,1.0
675490017,3.0
1595853024,2.0
1316974821,0.0
768301292,0.0
919314668,1.0
1565880563,3.0
1286242549,0.0
5813078261,1.0
1718114551,0.0
1500680443,1.0
1718438146,1.0
852906243,1.0
1501790467,5.0
1594882312,2.0
1779710234,2.0
5813039386,0.0
1161429278,0.0
1132228894,0.0
1625252129,2.0
1779796258,0.0
5813088549,1.0
1813727537,4.0
1721309490,3.0
1563126068,3.0
5813027124,0.0
1575852343,4.0
920086841,2.0
919314747,0.0
519629116,0.0
1750712639,2.0
1876105544,3.0
1255328073,3.0
768301391,0.0
5813016911,4.0
1347979604,0.0
1688578394,1.0
667279709,1.0
792541534,1.0
1070379357,2.0
1657258338,2.0
861251942,1.0
5813035367,0.0
1251373426,1.0
1068302710,0.0
1562499450,3.0
972931455,1.0
1626573183,2.0
1907501440,2.0
1070530946,0.0
1106469255,1.0
1563126151,2.0
1499160969,0.0
1750026634,2.0
737218956,0.0
1689139601,0.0
5812992408,3.0
675490204,1.0
1563122080,2.0
1782188454,0.0
884636075,1.0
1038649779,0.0
1718749619,0.0
1626560949,2.0
5812992437,2.0
1501872569,0.0
1502722492,2.0
5813031359,3.0
946567625,0.0
1375224269,3.0
5813062096,2.0
1500918232,3.0
5812996568,3.0
5813058008,3.0
1719591388,3.0
1252121060,3.0
1132431845,0.0
5812988389,1.0
1628135911,3.0
1191440880,0.0
5813068272,0.0
1440838134,0.0
1502364155,2.0
5813053957,3.0
761170446,1.0
1347979791,1.0
1004450322,1.0
1190076947,1.0
1688302103,2.0
1657262624,2.0
5813058087,1.0
5813041707,1.0
1192796721,1.0
1718995507,2.0
1407939124,5.0
1749434934,1.0
1007964729,1.0
913754682,1.0
1320976955,3.0
1503158842,1.0
1501872699,0.0
1564482110,0.0
1132907071,1.0
1996276282,3.0
976562755,3.0
1813727811,2.0
770249286,1.0
1567107667,3.0
1378673241,1.0
706183770,3.0
1189847645,1.0
1193828958,1.0
1657516638,3.0
1222928995,0.0
1533481571,2.0
1410878059,0.0
5813045867,2.0
1499441777,2.0
5813015153,0.0
1379549812,3.0
920087157,0.0
706183807,0.0
920087168,0.0
767912577,0.0
1626573444,2.0
644455046,2.0
790508166,0.0
792537736,1.0
1781691019,1.0
1008292492,0.0
1251996302,3.0
5813054096,2.0
1008620177,0.0
1096315538,1.0
1657940629,2.0
1038420643,0.0
1219738275,0.0
5813123748,2.0
2154767014,3.0
1192123051,0.0
706183853,0.0
5812990638,1.0
644455092,0.0
5813097142,0.0
1534798522,1.0
1564482235,2.0
5813054141,3.0
706183871,0.0
5813023434,1.0
5813033675,3.0
1468834514,0.0
1657266898,2.0
1374900967,0.0
5813037804,2.0
1254533872,1.0
1131430645,1.0
790391552,1.0
914846465,1.0
5813070594,0.0
1099199236,3.0
1964909317,0.0
5812990726,2.0
5813091079,0.0
1528253194,3.0
1407593231,0.0
1375759120,0.0
1563364112,2.0
1625537295,3.0
1010338583,1.0
1070387992,1.0
1069187878,1.0
5813058342,1.0
915528488,2.0
479912747,0.0
1502200626,0.0
1379355446,1.0
675447609,1.0
5813021498,1.0
5813048127,0.0
1189727041,2.0
1374554946,3.0
5813068615,2.0
5812994891,0.0
5813033809,4.0
1072231250,0.0
357249875,1.0
1440670548,4.0
1261902687,3.0
1533657952,0.0
943416162,1.0
728666990,0.0
798995311,1.0
1375482740,3.0
1719569268,2.0
5812994939,2.0
1565858686,3.0
1374442368,3.0
1440670595,4.0
5813021574,1.0
1374438280,3.0
1902545801,0.0
1286704014,0.0
1406147470,3.0
976251792,1.0
1345471376,0.0
1501729681,5.0
1007256476,1.0
1718809500,3.0
1037972384,0.0
1503042472,1.0
950780841,0.0
1565488046,0.0
1973418935,0.0
1810645950,3.0
729017279,1.0
792538051,1.0
1499048899,2.0
1533782991,2.0
1562905570,0.0
2280279010,1.0
1254650854,1.0
1654516710,1.0
1813728233,3.0
1226206190,1.0
1750039535,2.0
790025201,0.0
5813130229,0.0
5813023739,1.0
1814733827,2.0
1564136459,1.0
1440566287,2.0
5813085201,4.0
918973470,0.0
5812988959,1.0
1438563366,3.0
1626909735,2.0
919659561,0.0
1749007402,2.0
5813046313,0.0
1344629812,0.0
797635637,1.0
855159870,1.0
1100088382,1.0
1008759880,1.0
886367305,1.0
5901194314,2.0
1470358604,2.0
1686000717,0.0
1040030798,1.0
1008102479,1.0
643060819,1.0
1099363412,0.0
2219867226,4.0
1406966879,2.0
1719678048,2.0
977736804,1.0
1719643238,1.0
1533783144,1.0
822070386,0.0
1625191546,2.0
1344042108,0.0
5812997245,3.0
1008663678,1.0
1347638398,1.0
1409358980,1.0
1563372679,3.0
1160752265,0.0
1317397643,0.0
789726348,0.0
1687032976,0.0
1657949330,2.0
1471532179,0.0
1250432148,0.0
1317393559,0.0
1718645916,2.0
1348312221,0.0
1749007519,2.0
1749845151,0.0
675148961,0.0
5813044385,1.0
5812987043,0.0
1286022311,0.0
1318304936,4.0
1281113257,2.0
1316945065,1.0
852767924,0.0
5812999352,0.0
1281752255,0.0
1813732543,3.0
885513409,1.0
1407866051,3.0
1686932677,2.0
5812997319,3.0
1251654856,3.0
1719237849,3.0
1191820507,1.0
1786539227,0.0
736877789,3.0
1255668960,0.0
1255668961,0.0
675835107,1.0
798317797,0.0
5813013735,1.0
1623262447,0.0
1470950640,3.0
1467340016,5.0
1806664947,2.0
1627030775,1.0
1591471352,0.0
1471337728,1.0
1502817538,0.0
787563782,1.0
852763931,0.0
5813054748,3.0
2026896672,3.0
1101069609,1.0
817044778,0.0
1378315562,0.0
1876466986,2.0
1657263405,2.0
1317397830,0.0
1440804168,0.0
737602890,0.0
1474446666,2.0
947582284,0.0
1657263439,2.0
1812696401,3.0
1623422292,3.0
1410049368,1.0
766950752,0.0
1409807727,0.0
1533338992,3.0
450004338,1.0
1562785146,3.0
1344724350,0.0
5812989312,3.0
1622740353,3.0
