Node,Community
796393522,1.0
478937243,0.0
7112622236,0.0
542376096,1.0
1325138116,4.0
764412104,2.0
456523994,3.0
549978347,3.0
580780309,4.0
1003094304,1.0
855638407,1.0
922354084,2.0
481427934,0.0
422052346,5.0
643039876,0.0
481034911,1.0
423101189,1.0
358613806,0.0
800588608,4.0
358613830,0.0
703857506,4.0
329646990,2.0
1018299346,4.0
695469100,0.0
361104490,0.0
769000618,4.0
895091952,4.0
479987085,0.0
732431788,1.0
611452437,1.0
489686575,1.0
732038716,2.0
670435003,1.0
606340818,1.0
516163285,1.0
511051477,0.0
423757555,0.0
636356423,1.0
418645869,0.0
361105354,3.0
674760695,1.0
547227734,1.0
610666582,1.0
1544554625,4.0
1039141038,4.0
674760884,1.0
605554875,1.0
391121098,3.0
642123981,3.0
423364866,2.0
360319284,5.0
792856887,1.0
986974738,2.0
581962275,0.0
675809900,2.0
454822542,1.0
421137107,0.0
425462513,0.0
799279899,4.0
454822714,0.0
669649736,1.0
613813102,1.0
736627575,2.0
704777224,2.0
297929768,0.0
297929815,3.0
420351087,1.0
613813486,4.0
418516266,2.0
613420343,4.0
297930040,0.0
926813501,4.0
764153172,1.0
577244511,1.0
484838760,0.0
5813046657,3.0
5813046658,1.0
297930119,0.0
611323310,2.0
827198933,2.0
418516470,3.0
607260192,1.0
943066738,1.0
698224251,1.0
5813046951,3.0
327945928,0.0
355077858,1.0
642387793,1.0
420351828,0.0
5813047131,0.0
5813047188,0.0
925241334,4.0
5813047306,3.0
543821838,1.0
514068564,2.0
700321894,2.0
892997744,2.0
5813047422,0.0
5813047425,1.0
5813047448,4.0
887230673,4.0
328601956,2.0
730730860,1.0
643830129,4.0
5813047717,0.0
298586553,0.0
5813047739,0.0
356913605,1.0
1111757266,4.0
422056477,5.0
422056521,5.0
5813047907,0.0
298586733,0.0
701371011,1.0
550638250,1.0
578556621,2.0
642651049,2.0
449975227,0.0
952374245,4.0
486544396,3.0
423105632,1.0
674108632,1.0
361108721,3.0
708187441,1.0
674501939,3.0
1232344382,2.0
674108802,2.0
674502264,3.0
637540087,2.0
391124880,3.0
603068370,1.0
762058745,2.0
5813049344,1.0
576985092,1.0
604510234,1.0
5813049378,3.0
5813049380,2.0
819992660,1.0
5813049438,0.0
510269590,2.0
602675369,0.0
705566917,4.0
610670860,0.0
1817712927,1.0
769268002,4.0
549722579,4.0
578034170,5.0
5813049907,0.0
485628489,1.0
517872280,2.0
862722715,4.0
518920893,0.0
362814519,0.0
296885362,0.0
671751354,0.0
