"","neuron_names","freq_vector","bin_edges","thresh_vals_sn1","modal_classification","skew_value"
"26","20160912_1013_BGUG_HuC_ltRFP_d6_F7_Neuron1","[11, 8, 26, 18, 44, 73, 66, 63, 37, 50, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 12, 7, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 5, 2, 3, 1, 3]","[30.53558115676899, 34.555061274295745, 38.5745413918225, 42.59402150934926, 46.613501626876015, 50.63298174440277, 54.652461861929524, 58.67194197945628, 62.69142209698303, 66.71090221450979, 70.73038233203654, 74.7498624495633, 78.76934256709006, 82.7888226846168, 86.80830280214357, 90.82778291967031, 94.84726303719708, 98.86674315472382, 102.88622327225059, 106.90570338977733, 110.9251835073041, 114.94466362483084, 118.9641437423576, 122.98362385988435, 127.00310397741112, 131.02258409493788, 135.04206421246462, 139.0615443299914, 143.08102444751813, 147.1005045650449, 151.11998468257164, 155.1394648000984, 159.15894491762515, 163.17842503515192, 167.19790515267866, 171.21738527020543, 175.23686538773217, 179.25634550525893, 183.27582562278567, 187.29530574031244, 191.31478585783918, 195.33426597536595, 199.3537460928927, 203.37322621041946, 207.3927063279462, 211.41218644547297, 215.4316665629997, 219.45114668052648, 223.47062679805325, 227.49010691558, 231.50958703310675, 235.5290671506335, 239.54854726816026, 243.568027385687, 247.58750750321377, 251.6069876207405, 255.62646773826728, 259.645947855794, 263.6654279733208]",76.7596025083267,"S",-1
"27","20160914_1013_BGUG_HuC_ltRFP_d5_F1","[7, 27, 27, 24, 35, 63, 38, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 1, 0, 11, 0, 0, 2, 4, 6, 5, 7]","[44.62971677969227, 50.64688361401298, 56.66405044833368, 62.681217282654394, 68.6983841169751, 74.71555095129582, 80.73271778561653, 86.74988461993723, 92.76705145425794, 98.78421828857866, 104.80138512289938, 110.81855195722008, 116.83571879154078, 122.85288562586149, 128.8700524601822, 134.88721929450293, 140.90438612882363, 146.92155296314434, 152.93871979746504, 158.95588663178575, 164.97305346610648, 170.99022030042718, 177.0073871347479, 183.0245539690686, 189.0417208033893, 195.05888763771003, 201.07605447203073, 207.09322130635144, 213.11038814067214]",95.7756348714183,"S",-1
"28","20160916_1013_BGUG_HuC_ltRFP_d7_F5","[162, 81, 22, 0, 35, 9, 1, 3, 9, 4, 0, 5, 0, 0, 0, 7, 10, 15, 15]","[8.374481593263313, 27.7636400425544, 47.15279849184548, 66.54195694113656, 85.93111539042765, 105.32027383971874, 124.70943228900981, 144.0985907383009, 163.487749187592, 182.87690763688306, 202.26606608617416, 221.65522453546524, 241.0443829847563, 260.4335414340474, 279.82269988333854, 299.2118583326296, 318.6010167819207, 337.99017523121177, 357.37933368050284, 376.7684921297939]",76.2365361657821,"S",-1
"29","20160916_1013_BGUG_HuC_ltRFP_d7_F6","[12, 12, 32, 25, 11, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 9]","[14.296707724554306, 22.613354033796575, 30.93000034303884, 39.246646652281115, 47.56329296152337, 55.87993927076565, 64.19658558000792, 72.51323188925018, 80.82987819849245, 89.14652450773472, 97.46317081697698, 105.77981712621926, 114.09646343546153, 122.41310974470379, 130.72975605394606, 139.04640236318832, 147.36304867243058, 155.67969498167284, 163.99634129091513, 172.31298760015738, 180.62963390939964, 188.9462802186419]",60.0382624253868,"S",-1
"30","20160916_1013_BGUG_HuC_ltRFP_d7_F9","[2, 5, 43, 47, 42, 30, 29, 11, 6, 0, 0, 1, 0, 0, 0, 1, 5, 1, 4, 3, 3, 3, 1, 0, 0, 4, 3, 3, 3, 3, 3, 2, 3]","[5.524276691143277, 11.397804708611858, 17.271332726080438, 23.14486074354902, 29.0183887610176, 34.89191677848618, 40.765444795954764, 46.638972813423344, 52.51250083089192, 58.3860288483605, 64.25955686582908, 70.13308488329766, 76.00661290076624, 81.88014091823482, 87.7536689357034, 93.62719695317197, 99.50072497064056, 105.37425298810915, 111.24778100557772, 117.12130902304631, 122.99483704051488, 128.86836505798348, 134.74189307545205, 140.61542109292063, 146.48894911038923, 152.3624771278578, 158.23600514532637, 164.10953316279497, 169.98306118026355, 175.85658919773212, 181.7301172152007, 187.6036452326693, 193.47717325013787, 199.35070126760644]",61.3227928570948,"S",-1
"31","20160919_1013_BGUG_HuC_ltRFP_d5_F1_Neuron2","[23, 28, 34, 19, 11, 20, 15, 11, 5]","[10.570133635658763, 16.45652226989711, 22.342910904135458, 28.229299538373805, 34.11568817261215, 40.002076806850496, 45.88846544108885, 51.7748540753272, 57.66124270956554, 63.54763134380389]",37.0588824897313,"S",-1
"32","20160919_1013_BGUG_HuC_ltRFP_d5_F2_Neuron1","[103, 66, 7, 8, 3, 0, 0, 0, 0, 61]","[42.0201204649227, 67.33436884835669, 92.6486172317907, 117.96286561522469, 143.2771139986587, 168.5913623820927, 193.90561076552666, 219.21985914896067, 244.53410753239467, 269.8483559158287, 295.1626042992627]",181.24848657381,"S",-1
"33","20160920_1013_BGUG_HuC_ltRFP_d6_F2","[39, 61, 49, 57, 24, 50, 0, 0, 0, 0, 0, 0, 0, 2, 5, 11]","[15.039986869722942, 24.242458872786457, 33.44493087584998, 42.64740287891349, 51.849874881977, 61.05234688504052, 70.25481888810404, 79.45729089116755, 88.65976289423106, 97.86223489729458, 107.0647069003581, 116.26717890342161, 125.46965090648513, 134.67212290954865, 143.87459491261217, 153.0770669156757, 162.2795389187392]",74.8560548896358,"S",-1
"34","20160920_1013_BGUG_HuC_ltRFP_d6_F4","[34, 32, 18, 0, 0, 5, 11, 14]","[7.311754257347573, 26.0628445827044, 44.81393490806123, 63.565025233418055, 82.31611555877488, 101.06720588413171, 119.81829620948854, 138.56938653484536, 157.3204768602022]",72.9405703960965,"U",-1
"35","20160920_1013_BGUG_HuC_ltRFP_d6_F5","[2, 4, 66, 34, 37, 10, 0, 0, 4, 6, 2, 3, 5, 6, 5, 4, 4, 3, 4]","[4.482633598659091, 12.059342317044631, 19.636051035430174, 27.212759753815718, 34.78946847220126, 42.3661771905868, 49.94288590897234, 57.51959462735788, 65.09630334574342, 72.67301206412897, 80.2497207825145, 87.82642950090005, 95.4031382192856, 102.97984693767113, 110.55655565605667, 118.1332643744422, 125.70997309282775, 133.28668181121327, 140.86339052959883, 148.44009924798436]",53.7312402681651,"S",-1
