Node,Community
294774792,2.0
5813041163,0.0
297183244,4.0
603095061,2.0
356823065,3.0
480931876,0.0
509626405,4.0
326504486,2.0
542656552,0.0
357832762,2.0
418875451,0.0
480931899,0.0
325122109,4.0
296153150,2.0
359219263,1.0
5813010495,0.0
264783939,3.0
5813035078,2.0
296863817,3.0
356499529,1.0
449568848,1.0
5813020752,3.0
325791831,1.0
5813010525,0.0
5901195361,3.0
295456869,4.0
294436967,1.0
1570685033,3.0
480931947,0.0
5813010541,4.0
5813035117,4.0
325791855,4.0
295137392,3.0
296489073,2.0
449568880,0.0
360314997,0.0
389210230,1.0
294778999,2.0
264822904,3.0
296505463,1.0
5901213816,1.0
449910907,1.0
5813057660,2.0
417204354,4.0
326154371,2.0
295807109,2.0
5813088391,3.0
5813020809,3.0
387870860,1.0
5813035150,0.0
480258191,2.0
326475920,0.0
760250511,0.0
358264979,3.0
1975347348,4.0
792692885,1.0
390910102,1.0
326164634,2.0
418224293,1.0
2068801704,4.0
296153261,0.0
480581806,0.0
983007405,1.0
295798962,2.0
327848116,1.0
325814461,1.0
5813094592,2.0
419907780,1.0
5901193416,2.0
327229641,3.0
297179343,2.0
766734548,1.0
295434457,4.0
818983130,0.0
295477467,3.0
418224351,1.0
294756576,4.0
5812979935,4.0
5812979938,3.0
328909029,2.0
358541542,0.0
294760680,2.0
511262952,0.0
5813035242,3.0
295137515,3.0
298547436,2.0
418552044,1.0
325460206,4.0
294783216,4.0
850233586,3.0
357490931,4.0
5813055734,4.0
295473400,2.0
294760699,4.0
451602687,1.0
5813055748,4.0
326164742,2.0
5901193482,3.0
325802256,0.0
295799057,2.0
296120593,0.0
294760723,2.0
5812979995,3.0
386838814,1.0
5813047586,4.0
607152422,0.0
5812980006,3.0
326134056,4.0
1570685224,3.0
5812980016,1.0
5813055798,2.0
5901211960,2.0
295805243,0.0
421003580,2.0
5813055813,3.0
326525255,3.0
699160906,0.0
513323340,0.0
5812980047,3.0
356503889,3.0
295106899,2.0
326119769,1.0
420221276,4.0
358197600,1.0
326500709,2.0
5813055853,1.0
389200241,1.0
419557747,0.0
511617404,0.0
357855613,0.0
264438143,3.0
296501634,2.0
5813008771,3.0
294760837,0.0
849918343,0.0
325814669,2.0
325472654,0.0
5813008796,3.0
450617762,1.0
448899493,1.0
295823782,3.0
420571563,1.0
5901197740,0.0
480586157,0.0
325484974,2.0
387170738,4.0
481264051,0.0
295461302,2.0
357505462,2.0
5812980156,3.0
294783423,2.0
1714479551,1.0
5813045696,0.0
540662210,3.0
5812980164,2.0
295807429,2.0
511621576,0.0
573346248,0.0
296841676,2.0
5901197773,0.0
294437328,2.0
5813008848,3.0
390560212,0.0
295115222,2.0
513317334,0.0
294791642,3.0
419908058,1.0
325122525,4.0
541632990,0.0
265120223,3.0
357919199,3.0
294437347,4.0
326496740,2.0
418888180,1.0
603466235,1.0
325814784,2.0
330246657,1.0
5813010948,1.0
389546522,1.0
510956058,0.0
5812980250,4.0
696830498,1.0
325446181,4.0
294441510,3.0
450933288,0.0
451689001,1.0
358865451,0.0
450609707,0.0
294795822,3.0
295133743,3.0
5812980270,1.0
418888248,1.0
295828029,3.0
295797312,2.0
326812225,2.0
420239937,1.0
359529027,1.0
265120324,3.0
358515278,1.0
295133778,3.0
542315097,0.0
1504889437,4.0
449223263,1.0
294799968,3.0
544021095,0.0
574028395,0.0
548545143,0.0
450609788,1.0
5813090944,0.0
327877252,3.0
5812996748,4.0
450933392,1.0
355453590,4.0
295461534,2.0
542665377,0.0
328563364,1.0
295115429,2.0
265120424,3.0
326509224,2.0
544699051,0.0
481946285,0.0
357522097,1.0
294795963,3.0
357573309,3.0
295443136,1.0
418861761,1.0
295461570,2.0
295103172,1.0
298590924,1.0
788173517,0.0
295133902,3.0
265120467,3.0
326124243,4.0
360596183,2.0
449901277,1.0
295819998,3.0
388854495,0.0
511949534,0.0
604039904,4.0
328524517,1.0
295133927,3.0
294445804,1.0
296502002,2.0
325122802,2.0
327844600,1.0
480656125,1.0
297192193,2.0
5812980483,1.0
5813039875,3.0
5812980485,1.0
5813039877,3.0
5813039880,2.0
294787849,3.0
480590606,0.0
295815955,2.0
5812980501,2.0
5813056278,3.0
295820056,2.0
295473947,3.0
359279388,2.0
418865948,0.0
326134570,2.0
1225605932,3.0
388553520,3.0
392002352,1.0
1036550962,3.0
417186612,0.0
358538040,0.0
295478082,3.0
389559112,1.0
295461707,2.0
297519947,2.0
265120589,3.0
295119694,4.0
326155085,2.0
573381453,1.0
327152465,2.0
326128466,0.0
573354832,0.0
1447205712,0.0
1670597454,4.0
420567894,1.0
417186656,0.0
5813011299,0.0
511699812,4.0
294445931,4.0
295115628,2.0
5813009260,3.0
512312176,0.0
451015547,3.0
5813009276,0.0
911012735,1.0
5813009280,2.0
5813009281,3.0
974732162,0.0
760630148,1.0
327506825,0.0
295127956,1.0
5813009302,2.0
389204888,2.0
326884250,1.0
510956443,0.0
948812702,4.0
635091875,0.0
327850917,1.0
603007915,0.0
295132077,3.0
5812992942,4.0
1796817841,0.0
295107514,3.0
919526332,0.0
296168382,3.0
386821054,0.0
542311358,0.0
389204929,1.0
5813009346,2.0
5813013443,0.0
5813011395,2.0
5813009352,2.0
5813009354,3.0
5813009356,2.0
388629465,2.0
295439322,2.0
5812980700,0.0
295482340,3.0
296846314,2.0
326810603,1.0
479917037,0.0
295461871,2.0
5813009391,2.0
543679473,0.0
5901196273,1.0
295785459,2.0
389626867,3.0
294792184,3.0
295111672,3.0
356844539,2.0
358501372,4.0
454003707,1.0
604429310,0.0
266847236,3.0
541957126,0.0
5813009416,3.0
605723658,0.0
604726283,0.0
5901194250,4.0
388885518,1.0
5813009424,2.0
295115794,2.0
574688277,0.0
296502294,2.0
388877336,1.0
327535642,2.0
481268762,3.0
357932060,3.0
5812995098,0.0
326128670,4.0
5901196318,1.0
5813109792,0.0
511681569,1.0
327158831,1.0
325458991,4.0
389536816,2.0
327865394,1.0
296143923,2.0
295111734,2.0
356486199,1.0
451355706,3.0
449555517,2.0
697537598,1.0
696489026,3.0
296479813,2.0
356136008,1.0
1097870409,1.0
295474250,3.0
357901388,3.0
329966674,1.0
296838229,2.0
327857238,1.0
5813099605,2.0
297196636,3.0
574372960,0.0
328524904,1.0
295478389,3.0
325127286,4.0
294792311,2.0
418585726,3.0
388859011,1.0
357862532,2.0
296148102,2.0
356467849,0.0
357522570,4.0
666135689,0.0
734667914,0.0
825359499,0.0
325815440,2.0
511349908,3.0
325455002,4.0
543333530,0.0
5901194395,0.0
357823645,4.0
5813060766,1.0
1166761119,0.0
5813009567,2.0
5813097632,3.0
387556524,2.0
449555633,4.0
295482551,2.0
388605118,3.0
359183551,2.0
1796818119,0.0
356832459,4.0
295482578,3.0
389205204,1.0
480244962,1.0
294773987,1.0
512982243,0.0
5812995298,4.0
326159593,2.0
477918443,4.0
298210543,1.0
607096048,0.0
5813128431,3.0
449910002,0.0
295490804,3.0
480599285,2.0
358538491,0.0
356832508,1.0
295849217,3.0
419575044,1.0
5813011717,1.0
295814411,3.0
295443724,4.0
912022802,0.0
295482646,3.0
5813134617,4.0
388898076,0.0
327873821,2.0
419929377,0.0
327220514,4.0
1703683361,0.0
295466276,2.0
480595244,2.0
295490863,3.0
759582005,1.0
511634742,1.0
356494648,2.0
729228602,1.0
5813011770,0.0
5901194556,4.0
5813013823,0.0
5813087551,4.0
295132487,3.0
818888010,0.0
450678094,3.0
386825553,0.0
417869138,1.0
5813009745,4.0
541680980,1.0
5813009749,1.0
325490014,2.0
5901219179,0.0
357496172,2.0
362394990,1.0
5813009781,1.0
449289591,1.0
419548541,0.0
479921537,1.0
295116165,2.0
295132551,3.0
572650888,0.0
5813009800,0.0
880323994,0.0
295136668,3.0
420904348,1.0
449564064,2.0
386825636,0.0
419880359,0.0
296846768,3.0
573056433,2.0
448908723,1.0
356517307,3.0
295124412,2.0
548203966,3.0
327153088,1.0
355816896,4.0
419880385,0.0
325455305,4.0
359892436,0.0
325131735,2.0
700878295,4.0
388513242,0.0
325826011,2.0
511966686,0.0
294782432,2.0
326508001,2.0
727182822,3.0
1797505019,0.0
911984113,0.0
5901221363,1.0
295456248,2.0
662197764,3.0
1066831365,1.0
296164879,3.0
294782488,0.0
326159897,2.0
295470623,2.0
295779879,4.0
669857319,0.0
696143413,0.0
5813077562,4.0
5813026364,3.0
326460989,4.0
669171261,4.0
5813067326,3.0
386825792,0.0
5813077567,3.0
294786630,0.0
5813067337,3.0
480923210,0.0
296838734,2.0
356144721,1.0
5813040727,0.0
450008671,4.0
326184549,3.0
633101926,1.0
294428266,4.0
325787243,4.0
325797488,0.0
325455473,1.0
5813012083,0.0
541681271,1.0
295779961,4.0
5813057148,3.0
511970945,0.0
294424196,4.0
264779403,3.0
356490891,1.0
541007502,3.0
665439889,0.0
2289223313,4.0
449236636,1.0
543002278,0.0
389217959,1.0
543010474,1.0
295132845,3.0
5813046962,4.0
5813046963,3.0
297502392,1.0
388513464,0.0
635424442,1.0
510934715,0.0
5813069498,2.0
449564352,4.0
603379393,1.0
325797575,4.0
390223560,0.0
387538632,0.0
1035796174,1.0
480257743,0.0
387215056,4.0
449910481,1.0
632751823,0.0
5813032655,1.0
327532246,2.0
790922968,0.0
295120601,2.0
1664980698,4.0
449910491,0.0
326137566,0.0
295470816,2.0
294786785,2.0
573009633,4.0
326817510,1.0
356818664,0.0
295120620,2.0
295814895,2.0
572663539,0.0
1570684665,0.0
295137019,3.0
5813061371,0.0
511608576,0.0
5813010180,0.0
449263368,1.0
453662475,1.0
5813047053,4.0
295814932,2.0
479952665,2.0
327147292,1.0
296843037,3.0
326817565,0.0
388863775,0.0
296851235,1.0
417199910,4.0
5813085995,1.0
356153135,1.0
480927537,0.0
356472628,1.0
387878711,2.0
295780154,2.0
421605182,2.0
417554241,1.0
5813069636,3.0
356472645,4.0
5813069640,1.0
417890128,1.0
356472660,4.0
295133015,3.0
389527383,1.0
480257882,2.0
5813047130,0.0
324790113,4.0
296496999,3.0
480257896,2.0
696829800,1.0
2007068523,4.0
294432626,4.0
357150583,4.0
509968249,1.0
480257914,0.0
851459972,3.0
5813098375,3.0
541663112,0.0
510295955,1.0
420581268,1.0
480276374,1.0
325834652,1.0
422674339,2.0
233105330,1.0
295815100,2.0
294774719,4.0
325113795,1.0
417204164,4.0
573695941,0.0
1827516355,0.0
571346887,4.0
419919816,1.0
572651463,3.0
5813075909,3.0
5813067725,2.0
357515217,1.0
5813010385,0.0
449910741,1.0
638472166,0.0
5901201383,4.0
418224106,4.0
386838513,1.0
2343038967,0.0
294432760,3.0
5812981753,0.0
480315387,1.0
418205694,3.0
