Node,Community
547002880,1.0
549382144,1.0
5813123584,2.0
824470535,0.0
422056477,3.0
545971745,1.0
357573154,3.0
455141922,4.0
545971748,1.0
5813058085,2.0
606703149,2.0
762745906,0.0
486518323,2.0
5813021238,0.0
543441466,2.0
730830911,1.0
423766084,2.0
759477318,4.0
699463239,1.0
760358472,2.0
422056521,0.0
759814218,4.0
5813015110,2.0
669977676,2.0
299298381,3.0
668618317,2.0
358264919,3.0
514475106,0.0
547565159,2.0
330319977,3.0
700481649,1.0
703430259,0.0
328948348,2.0
545626238,1.0
579239039,0.0
698646654,2.0
298254474,3.0
391021712,3.0
453087379,1.0
294792344,0.0
544265891,1.0
5813075619,3.0
545510060,3.0
326879917,2.0
608261812,0.0
5813083316,2.0
674423996,3.0
360310976,0.0
330661573,3.0
546307782,1.0
667241165,1.0
609310926,0.0
422401750,3.0
455483094,4.0
479260891,3.0
544158940,2.0
545635037,1.0
388280541,0.0
488931037,0.0
546307807,1.0
544637659,1.0
759464163,4.0
389311717,0.0
454792422,2.0
451365099,0.0
5812979948,3.0
5901222127,1.0
424250610,1.0
543433461,0.0
299617529,3.0
5813056257,3.0
298927362,3.0
329301762,3.0
5813134082,1.0
5813055749,2.0
5813096198,2.0
545966857,1.0
727968539,4.0
5813064478,0.0
5813068575,4.0
360319284,3.0
545967423,1.0
420666689,2.0
5813020993,3.0
328417092,2.0
580300616,0.0
330998090,3.0
5813009740,3.0
514816333,0.0
5813130063,1.0
392389970,0.0
390818643,0.0
5813013850,4.0
359317340,3.0
390486371,1.0
545289059,1.0
545631081,1.0
822428009,2.0
5813010801,2.0
5813056881,0.0
418607477,2.0
673073015,2.0
5813011320,2.0
420325753,2.0
549943673,0.0
266691460,1.0
5812980103,3.0
605006733,1.0
610113424,0.0
515152792,0.0
452401052,0.0
607373222,4.0
449218986,0.0
577697202,4.0
5812980147,3.0
5901213624,3.0
794277305,0.0
578919867,0.0
919426491,0.0
545971650,1.0
514958793,0.0
547888586,3.0
607592906,4.0
5813056972,1.0
5813009358,0.0
5813022160,3.0
702882267,4.0
362862047,1.0
544599014,1.0
668285416,2.0
545967081,1.0
1007640554,0.0
450004974,0.0
418611695,2.0
609281007,0.0
422052346,2.0
702730227,0.0
5812981237,3.0
578034170,4.0
545971196,1.0
542039038,4.0
