Node,Community
672809472,0.0
359744514,1.0
488231939,1.0
5901200903,5.0
328709642,1.0
519004170,0.0
486544396,0.0
5813047306,0.0
5813011471,2.0
612068881,0.0
517578770,5.0
297917459,3.0
5812981266,3.0
642085399,1.0
361451032,1.0
486103577,2.0
581055513,1.0
5813057564,2.0
5813009950,3.0
518598175,0.0
488240674,2.0
580032546,4.0
5813049378,0.0
392424485,5.0
550033958,4.0
5813056041,2.0
824620586,1.0
5901203505,0.0
580719155,4.0
644083764,0.0
582027317,5.0
5813011508,1.0
299043389,1.0
515869245,0.0
707837502,0.0
267223104,3.0
547158593,0.0
551669824,2.0
5813039679,5.0
423516229,4.0
581690438,1.0
297921608,1.0
580667978,0.0
392821837,1.0
612099662,0.0
1141035086,4.0
5813060687,4.0
329728593,1.0
545621587,1.0
297588821,1.0
452689494,0.0
297929815,1.0
297925719,5.0
356140121,2.0
423792217,2.0
580714587,4.0
614081109,0.0
362299997,0.0
5813010533,5.0
5812980326,1.0
5812981862,1.0
548660840,4.0
518934633,4.0
548963433,4.0
5813088360,0.0
297925742,1.0
642763374,0.0
581013104,3.0
550983795,4.0
581073524,4.0
5901207157,3.0
674502264,0.0
485918334,4.0
518593663,4.0
455500416,0.0
550388353,3.0
456187010,0.0
5813092990,2.0
5813013636,3.0
641066630,5.0
824565895,5.0
328611467,1.0
550322829,5.0
5813009554,2.0
5813108370,1.0
517915796,4.0
639063702,1.0
330661529,1.0
581064348,0.0
423174813,3.0
551065761,4.0
550029475,3.0
540972196,0.0
5813068453,1.0
551989415,0.0
5813046951,1.0
5901195945,2.0
548634799,4.0
5813090992,0.0
516780722,0.0
516603060,2.0
550655668,0.0
612777140,4.0
360349882,2.0
580010682,4.0
487610557,5.0
550326974,1.0
581013183,3.0
580369597,4.0
666200256,0.0
422155460,4.0
391121098,1.0
361298637,3.0
328274638,0.0
642123981,0.0
298275024,2.0
5813089487,2.0
359066834,1.0
327941844,2.0
330074324,1.0
516551382,0.0
456523994,0.0
519012059,2.0
551337690,5.0
5813011166,0.0
578642656,3.0
706080993,2.0
455513316,4.0
361636071,3.0
549978347,0.0
487636204,4.0
327600366,2.0
361108721,3.0
641373426,0.0
5813009651,1.0
516944116,4.0
519949044,2.0
548972278,4.0
611016438,0.0
674152184,3.0
611413241,3.0
610376954,5.0
452340995,0.0
581013253,0.0
329391878,3.0
547612423,3.0
454787848,2.0
578189576,2.0
362395402,2.0
582700300,0.0
611728142,3.0
5813069072,1.0
5813055769,3.0
519017242,4.0
610368283,5.0
5813055773,5.0
5813013279,3.0
299298593,5.0
487899426,2.0
581396769,2.0
611361058,0.0
392325925,3.0
486893863,2.0
518947623,4.0
575197482,0.0
518930220,2.0
5812980529,3.0
5813012274,0.0
674501939,3.0
393171256,2.0
423792440,1.0
486444857,2.0
551000891,5.0
580010810,4.0
581414714,5.0
582696254,0.0
5813069630,1.0
5813075772,2.0
611068232,2.0
611067721,1.0
5813057864,1.0
5813133640,0.0
5813039948,4.0
549360458,4.0
547659598,0.0
5813011794,4.0
519603027,2.0
610342229,0.0
550651224,2.0
642422617,2.0
643073880,0.0
641709401,0.0
551427936,1.0
453794660,2.0
5813010279,0.0
516943720,4.0
520613226,3.0
454136171,0.0
5901203310,0.0
642763119,3.0
641403248,5.0
5813069683,0.0
423852404,1.0
517916020,4.0
520285559,5.0
609677179,1.0
298595196,1.0
614413183,5.0
486255488,3.0
5813046657,1.0
520272258,1.0
328373131,1.0
516283789,0.0
612712334,0.0
580348303,3.0
391124880,1.0
5813026705,0.0
361312146,3.0
5813011858,3.0
425143700,1.0
267551639,1.0
5813011865,5.0
517587356,1.0
674480029,0.0
5813079452,2.0
704487840,5.0
675887521,0.0
579014562,3.0
642409381,1.0
518269350,4.0
643743142,0.0
267214250,1.0
674492842,0.0
546303917,0.0
581405615,1.0
5813019568,3.0
5813077939,0.0
423442357,0.0
360698817,2.0
5813057481,5.0
361105354,2.0
550646730,4.0
580680652,3.0
5813055949,1.0
611706830,2.0
581409749,1.0
549696983,4.0
550655959,5.0
580732377,1.0
518217691,0.0
452849628,1.0
5813013979,2.0
5813079004,1.0
298258399,2.0
550319585,5.0
486604771,1.0
613822435,3.0
5901213155,2.0
487217638,5.0
298961895,4.0
610243047,1.0
5813032424,3.0
550029290,2.0
637949421,1.0
5813012979,0.0
418516470,0.0
610722297,1.0
424037884,3.0
423512063,1.0
