Node,Community
517838849,1.0
388280322,1.0
571666434,2.0
730687491,3.0
5812983811,5.0
610299911,3.0
738009096,4.0
1106862090,6.0
573337611,1.0
5813041169,3.0
953755666,4.0
549935124,0.0
486850582,0.0
737486877,3.0
1411784734,0.0
484368420,0.0
5813049380,1.0
607899687,1.0
729997357,3.0
423563311,4.0
5813078068,3.0
671307834,4.0
518899771,4.0
639995972,1.0
766660682,5.0
734089294,3.0
794462286,3.0
5812981840,0.0
514068564,2.0
700321894,3.0
737491049,4.0
454439022,0.0
480219247,0.0
602476655,2.0
892997744,2.0
448536695,4.0
425126008,1.0
613066879,3.0
642723975,2.0
425121937,3.0
510269590,0.0
5813020846,3.0
733399215,4.0
393404592,6.0
731357364,3.0
5813129400,1.0
612307129,0.0
5813020857,6.0
731689147,2.0
735772860,0.0
790982851,2.0
5813041349,3.0
5813117126,5.0
608628936,0.0
640596169,2.0
764412104,0.0
823015627,0.0
768884949,1.0
798892246,3.0
858906840,2.0
857538779,4.0
5813094619,1.0
519940322,4.0
518861029,0.0
5813033196,1.0
263674097,2.0
705816818,2.0
984449267,4.0
361445621,5.0
826136822,2.0
423364866,4.0
576864518,1.0
5813096718,0.0
455129365,4.0
767486231,4.0
1170309400,3.0
550617370,4.0
515813661,1.0
672352543,2.0
519616809,4.0
299082033,1.0
517169460,6.0
609587511,4.0
5813055800,2.0
825489724,2.0
766126400,1.0
578914626,4.0
5813078340,3.0
738531654,2.0
5813021005,4.0
609591640,1.0
577542489,0.0
5813055833,4.0
5813082459,1.0
328601956,6.0
639275368,3.0
952723817,1.0
831273322,2.0
829593966,1.0
952727922,2.0
611629428,2.0
737970549,5.0
486812022,1.0
5813021046,1.0
5813041525,1.0
983767417,3.0
550076798,5.0
644450686,1.0
700991872,4.0
734599550,5.0
324721026,4.0
485132675,0.0
699324804,3.0
609591686,1.0
486496648,4.0
609587594,1.0
5812980109,4.0
798908816,1.0
920994194,3.0
672041363,1.0
482732443,3.0
5813094811,1.0
455819680,4.0
609587618,0.0
922354084,1.0
762698149,5.0
613179816,5.0
518369709,5.0
768192947,1.0
1138696627,1.0
544598460,5.0
546507208,1.0
549257678,0.0
609591758,4.0
706451920,2.0
5813078487,2.0
800256481,2.0
5813078504,0.0
985131499,6.0
642693620,1.0
577554935,5.0
5813058047,1.0
5813123585,2.0
767541763,0.0
5813012995,4.0
579912201,1.0
516504076,0.0
609591823,4.0
760703506,3.0
673362451,1.0
542634516,1.0
640963092,4.0
986974738,5.0
5812982295,0.0
5813015068,1.0
484821546,2.0
829375020,5.0
643717679,0.0
5813021235,4.0
580282938,0.0
672002621,2.0
796146244,3.0
672524871,5.0
609591880,4.0
1543717447,3.0
609591891,1.0
703900244,5.0
608754263,1.0
953410147,1.0
675809900,3.0
705462899,4.0
859265651,4.0
355086967,2.0
268731005,4.0
643005055,4.0
952724101,1.0
735941254,5.0
518183562,0.0
579596940,1.0
484735637,2.0
639957655,1.0
517872280,4.0
643691163,0.0
5813082780,0.0
550621853,4.0
768555687,2.0
579230376,2.0
822358700,2.0
453536432,2.0
455811760,0.0
671005363,2.0
673733299,1.0
609591989,4.0
674446014,2.0
674882250,5.0
546325197,4.0
578556621,0.0
766493391,3.0
607195856,4.0
1160807120,4.0
797194962,3.0
5813078739,3.0
549161688,5.0
5813067769,0.0
703740639,1.0
725701350,5.0
612004584,6.0
858237673,3.0
547681002,4.0
795826923,2.0
546196205,3.0
546765551,4.0
795814655,3.0
5813058310,2.0
576502536,0.0
360764170,5.0
510278421,2.0
549597974,1.0
795982617,4.0
549219101,1.0
793439006,3.0
5812980514,0.0
794088227,2.0
643679015,0.0
425104178,6.0
669965108,1.0
549049148,0.0
702708540,4.0
956126012,2.0
1045832508,3.0
484911954,2.0
610601810,1.0
294450004,1.0
702010197,1.0
951018323,1.0
859269976,2.0
796836697,1.0
456833888,1.0
766255970,5.0
766276454,5.0
702692200,2.0
983425901,1.0
550275952,4.0
736627575,5.0
607212413,3.0
921654144,3.0
361376643,6.0
608240515,1.0
487148422,1.0
705463175,4.0
831325065,2.0
387568523,2.0
452742028,1.0
671660941,2.0
329646990,1.0
550275987,5.0
827911067,4.0
858573728,3.0
5813021600,0.0
5813019560,5.0
642651049,4.0
699976619,1.0
669088684,5.0
5812980658,0.0
540967864,2.0
546765753,4.0
642323384,0.0
830634936,1.0
674100160,2.0
608922563,1.0
640963528,1.0
642378701,1.0
701328333,1.0
422751191,2.0
581678043,2.0
423748579,1.0
640963556,0.0
640617445,2.0
424776680,0.0
