prox_range,tp,fp,tn,fn,false_positive_rate,false_negative_rate,accuracy,precision,recall,f1_score
0.2,3861,2124,767492,73843,0.0027598178832040914,0.9503114382785957,0.9103443799273002,0.6451127819548872,0.049688561721404303,0.09227019082555651
0.4,4478,3100,766516,73226,0.004027982786220661,0.9423710491094409,0.9099206911202379,0.590921087358142,0.05762895089055904,0.10501629886728733
0.6,4649,3696,765920,73055,0.00480239496060373,0.9401703901987027,0.9094191096634093,0.5571000599161174,0.05982960980129723,0.10805471301235342
0.8,4789,4243,765373,72915,0.005513139019978795,0.9383686811489756,0.908938771656517,0.5302258635961028,0.0616313188510244,0.11042704298099984
1.0,4933,4827,764789,72771,0.006271959002931332,0.9365154946978277,0.9084194873247415,0.5054303278688524,0.06348450530217235,0.11280069514314464
1.2,5076,5418,764198,72628,0.007039874430885013,0.9346751775970349,0.9078907614596611,0.483704974271012,0.0653248224029651,0.11510465089911336
