Module,tp,fp,tn,fn,false_positive_rate,false_negative_rate,accuracy,precision,recall,f1_score
1,89542,736508,14876158,397948,0.0471737498259426,0.816320334776098,0.9295375771514264,0.1083977967435385,0.183679665223902,0.1363369216011693
2,31022,286152,14848079,260003,0.0189076009213814,0.8934043467056095,0.9645934563419888,0.0978075125956099,0.1065956532943905,0.1020126636183222
3,51167,382783,8631940,355940,0.0424619813609358,0.8743155976192991,0.921594530998755,0.1179098974536237,0.1256844023807009,0.1216730851773423
4,57476,509051,8488497,330008,0.0565766362124436,0.8516687140630322,0.9105960427199395,0.1014532405339904,0.1483312859369677,0.1204933695733068
5,9112,53940,5113332,362578,0.0104387769794197,0.975484947133364,0.9248021560718416,0.1445156378861891,0.0245150528666361,0.0419191152453639
6,71836,420309,4399064,470331,0.0872123821916253,0.8675020796175348,0.8338835483834869,0.1459651119080758,0.1324979203824652,0.1389058620609642
7,18054,157617,3995835,123750,0.0379484342180913,0.8726834221883727,0.9344935435745856,0.1027716583841385,0.1273165778116273,0.1137349397590361
8,7467,14802,754814,70237,0.0192329681295607,0.9039045608977658,0.8996376811594203,0.3353091741883335,0.0960954391022341,0.1493803326898262
