Module,tp,fp,tn,fn,false_positive_rate,false_negative_rate,accuracy,precision,recall,f1_score
1,77332,279089,15333577,410158,0.0178758067328155,0.8413670024000492,0.9571900421337532,0.216968135996476,0.1586329975999507,0.1832705107529111
2,25305,88000,15046231,265720,0.0058146330659284,0.9130487071557426,0.9770687760384658,0.2233352455760999,0.0869512928442573,0.1251700343778597
3,43508,154782,8859941,363599,0.0171699119318474,0.8931288334516478,0.9449808582833696,0.2194160068586413,0.1068711665483521,0.1437337813038386
4,44697,198584,8798964,342787,0.0220709019835181,0.8846481403103096,0.9423154870436244,0.1837258150040488,0.1153518596896904,0.141723145704026
5,6951,19683,5147589,364739,0.0038091666163499,0.9812989319056202,0.9305967435775871,0.2609822031989187,0.0187010680943797,0.0349012361795924
6,43874,135849,4683524,498293,0.0281881066271483,0.9190765944810364,0.8817239076832403,0.2441201181818687,0.0809234055189637,0.1215531452160301
7,15100,58943,4094509,126704,0.0141913280808349,0.8935149925248935,0.9567785948031968,0.2039355509636292,0.1064850074751064,0.1399139205085083
8,4933,4827,764789,72771,0.0062719590029313,0.9365154946978276,0.9084194873247416,0.5054303278688524,0.0634845053021723,0.1128006951431446
